Date,Location,Latitude,Longitude,Number Killed,Number Injured
1/08/1966,"110 Inner Campus Drive, Austin, TX 78705",30.28605835,-97.73935318,15,31
16/03/1968,"11703 Lake Rd, Ironwood, MI 49938",46.4943645,-90.155914,7,2
29/05/1972,"4321 Lassiter at North Hills Ave, Raleigh, NC 27609",35.8375496,-78.643461,4,5
21/06/1972,"383 Kings Highway N, Cherry Hill, NJ 08034",39.913893,-75.010231,6,6
7/01/1973,"4200 Old Gentilly Rd, New Orleans, LA 70126",30.0024209,-90.0389002,7,8
12/07/1976,"800 N State College Blvd, Fullerton, CA 92831",33.8830939,-117.8852222,7,2
14/02/1977,"55 Weyman Ave, New Rochelle NY, 10805",40.89897765,-73.79257051,5,5
26/08/1977,"210 Mountain Ave, Hackettstown, NJ 07840",40.8401873,-74.8255573,6,0
17/06/1978,"2099 Post Rd, Warwick, RI 02886",41.7247182,-71.44078303,4,0
3/02/1980,"9870 Dyer Street, El Paso, TX 79924",31.8952788,-106.4111348,5,3
21/07/1980,"Coraopolis, PA ",40.5184013,-80.1667247,4,1
7/05/1981,"Front St NE, Salem, OR",44.9430142,-123.0409855,4,20
9/08/1982,"902 Avenue N, Grand Prairie, TX 75050",32.77719722,-97.05298266,6,4
20/08/1982,"3147 Northwest North River Dr., Miami, FL 33142",25.7990413,-80.2468569,8,3
3/02/1983,"2175 Broadway, New York, NY 10024",40.7824129,-73.9811518,4,1
1/03/1983,"McCarthy, Alaska",61.461135,-142.7482476,6,2
11/10/1983,"College Station, Texas",30.5955289,-96.3071042,6,0
18/07/1984,"727 E San Ysidro Blvd, San Ysidro, CA 92073",32.5441,-117.02907,21,19
24/07/1984,"1127 Central Ave, Hot Springs, AR 71901",34.5048062,-93.05510871,5,1
16/03/1985,"1926 Baldridge Ave; Connellsville, Pennsylvania 15425",39.992982,-79.58932,4,2
20/08/1986,"200 N Broadway, Edmond, OK 73034",35.657503,-97.480828,14,6
23/04/1987,"4711 Babcock St NE, Palm Bay, FL 32905",28.0296377,-80.6220044,6,14
16/02/1988,"495 East Java Drive, Sunnyvale CA 94089",37.40896166,-122.0109513,7,4
17/07/1988,"3336 Old Salisbury Rd, Winston-Salem, NC 27127",35.99910268,-80.26942116,4,5
22/09/1988,"1310 S Ashland Ave, Chicago, IL 60608",41.86449145,-87.66673508,4,2
17/01/1989,"20 E. Fulton St, Stockton, CA 95204",37.9819588,-121.3022648,5,30
14/09/1989,"643 S 6th St Louisville, KY 40202",38.24821605,-85.76091305,9,12
18/06/1990,"7870 Baymeadows Way, Jacksonville, FL 32256",30.22808,-81.582229,11,6
10/10/1991,"143 E Ridgewood Ave, Ridgewood, NJ 07450",40.97935833,-74.1166654,4,0
16/10/1991,"1705 E Central Texas Expy, Kileen, TX 76541",31.09373,-97.72395,23,22
9/11/1991,"Harrodsburg, KY",37.762298,-84.8432852,4,0
14/11/1991,"200 W 2nd St, Royal Oak, MI 48068",42.489024,-83.145663,4,6
1/05/1992,"4446 Olive Ave, Olivehurst, CA 95961",39.0814225,-121.5316985,4,10
8/11/1992,"1144 Black Oak Dr, Paso Robles, CA 93446",35.64477205,-120.6870304,6,1
