ID,Criminal History
1,Known to Police
2,Known to Police
3,Known to Police
4,Known to Police
5,Known to Police
6,Known to Police
7,Known to Police
8,Known to Police
9,Known to Police
10,Known to Police
11,Known to Police
12,Known to Police
13,Known to Police
14,Known to Police
15,Known to Police
16,Known to Police
17,Known to Police
18,Known to Police
19,Known to Police
20,Known to Police
21,Known to Police
22,Known to Police
23,Known to Police
24,Known to Police
25,Known to Police
26,Known to Police
27,Known to Police
28,Known to Police
29,Known to Police
30,Known to Police
31,Known to Police
32,Known to Police
33,None
34,None
35,None
36,None
37,None
38,None
39,None
40,None
41,None
42,None
43,None
44,None
45,None
46,None
47,None
48,None
49,None
50,None
51,None
52,None
53,None
54,None
55,None
56,None
57,None
58,None
59,None
60,None
61,None
62,None
63,None
64,None
65,None
66,None
67,None
68,None
69,None
70,None
71,None
72,None
73,None
74,None
75,None
76,None
77,None
78,None
79,None
80,None
81,None
82,None
83,None
84,None
85,None
86,None
87,None
88,None
89,None
90,None
91,None
92,None
93,None
94,None
95,None
96,None
97,None
98,None
99,None
100,None
