Year,State,HFR
1980,Alabama,0.608
1981,Alabama,0.597
1982,Alabama,0.661
1983,Alabama,0.586
1984,Alabama,0.624
1985,Alabama,0.644
1986,Alabama,0.567
1987,Alabama,0.609
1988,Alabama,0.606
1989,Alabama,0.627
1990,Alabama,0.641
1991,Alabama,0.632
1992,Alabama,0.552
1993,Alabama,0.6
1994,Alabama,0.571
1995,Alabama,0.554
1996,Alabama,0.568
1997,Alabama,0.557
1998,Alabama,0.577
1999,Alabama,0.537
2000,Alabama,0.538
2001,Alabama,0.522
2002,Alabama,0.553
2003,Alabama,0.504
2004,Alabama,0.516
2005,Alabama,0.485
2006,Alabama,0.468
2007,Alabama,0.481
2008,Alabama,0.503
2009,Alabama,0.482
2010,Alabama,0.456
2011,Alabama,0.513
2012,Alabama,0.543
2013,Alabama,0.516
2014,Alabama,0.51
2015,Alabama,0.495
2016,Alabama,0.528
1980,Alaska,0.789
1981,Alaska,0.709
1982,Alaska,0.737
1983,Alaska,0.722
1984,Alaska,0.712
1985,Alaska,0.653
1986,Alaska,0.688
1987,Alaska,0.718
1988,Alaska,0.748
1989,Alaska,0.711
1990,Alaska,0.699
1991,Alaska,0.716
1992,Alaska,0.685
1993,Alaska,0.712
1994,Alaska,0.667
1995,Alaska,0.709
1996,Alaska,0.663
1997,Alaska,0.652
1998,Alaska,0.559
1999,Alaska,0.571
2000,Alaska,0.601
2001,Alaska,0.61
2002,Alaska,0.614
2003,Alaska,0.587
2004,Alaska,0.58
2005,Alaska,0.609
2006,Alaska,0.551
2007,Alaska,0.577
2008,Alaska,0.613
2009,Alaska,0.543
2010,Alaska,0.611
2011,Alaska,0.627
2012,Alaska,0.607
2013,Alaska,0.576
2014,Alaska,0.618
2015,Alaska,0.551
2016,Alaska,0.572
1980,Arizona,0.563
1981,Arizona,0.598
1982,Arizona,0.541
1983,Arizona,0.554
1984,Arizona,0.567
1985,Arizona,0.538
1986,Arizona,0.549
1987,Arizona,0.564
1988,Arizona,0.557
1989,Arizona,0.624
1990,Arizona,0.598
1991,Arizona,0.564
1992,Arizona,0.547
1993,Arizona,0.53
1994,Arizona,0.505
1995,Arizona,0.532
1996,Arizona,0.449
1997,Arizona,0.465
1998,Arizona,0.467
1999,Arizona,0.409
2000,Arizona,0.427
