Date,Weapon Type,Purchase Type
1960,Rifle ,Illegal
1960,Rifle ,Legal
1960,Rifle ,Legal
1960,Handgun ,Legal
1960,Handgun ,Legal
1960,Handgun ,Legal
1960,Shotgun ,Legal
1960,Handgun ,Illegal
1960,Handgun ,Legal
1960,Handgun ,Legal
1960,Rifle ,Legal
1960,Rifle ,Illegal
1960,Rifle ,Illegal
1970,Rifle ,Legal
1970,Rifle ,Illegal
1970,Rifle ,Legal
1970,Rifle ,Legal
1970,Rifle ,Legal
1970,Rifle ,Legal
1970,Rifle ,Illegal
1970,Assault weapon ,Illegal
1970,Handgun ,Illegal
1970,Handgun ,Illegal
1970,Handgun ,Illegal
1970,Handgun ,Illegal
1970,Assault weapon ,Illegal
1970,Rifle ,Illegal
1970,Rifle ,Legal
1980,Rifle ,Illegal
1980,Assault weapon ,Illegal
1980,Rifle ,Illegal
1980,Handgun ,Legal
1980,Handgun ,Legal
1980,Rifle ,Illegal
1980,Handgun ,Illegal
1980,Assault weapon ,Illegal
1980,Handgun ,Legal
1980,Rifle ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Illegal
1980,Shotgun ,Legal
1980,Handgun ,Illegal
1980,Assault weapon ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Legal
1980,Handgun ,Legal
1980,Handgun ,Illegal
1980,Shotgun ,Illegal
1980,Rifle ,Legal
1980,Handgun ,Illegal
1980,Assault weapon ,Legal
1980,Shotgun ,Legal
1980,Handgun ,Legal
1980,Handgun ,Illegal
1980,Shotgun ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Illegal
1980,Handgun ,Legal
1980,Assault weapon ,Legal
1980,Handgun ,Legal
1980,Shotgun ,Legal
1980,Handgun ,Legal
1980,Handgun ,Legal
1980,Handgun ,Legal
1980,Shotgun ,Legal
1980,Handgun ,Legal
1980,Rifle ,Legal
1980,Shotgun ,Legal
1980,Handgun ,Legal
1980,Rifle ,Illegal
1980,Handgun ,Illegal
1980,Assault weapon ,Illegal
1980,Handgun ,Illegal
1980,Assault weapon ,Legal
1980,Assault weapon ,Legal
1980,Handgun ,Legal
1980,Handgun ,Legal
1980,Assault weapon ,Legal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Illegal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Rifle ,Legal
1990,Shotgun ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Shotgun ,Illegal
1990,Handgun ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Illegal
1990,Shotgun ,Illegal
1990,Shotgun ,Illegal
1990,Rifle ,Illegal
1990,Shotgun ,Legal
1990,Shotgun ,Legal
1990,Handgun ,Legal
1990,Rifle ,Legal
1990,Rifle ,Legal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Assault weapon ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Assault weapon ,Legal
1990,Shotgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Rifle ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Handgun ,Illegal
1990,Shotgun ,Illegal
1990,Shotgun ,Illegal
1990,Assault weapon ,Illegal
1990,Assault weapon ,Illegal
1990,Shotgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Legal
1990,Handgun ,Illegal
1990,Handgun ,Legal
2000,Handgun ,Illegal
2000,Handgun ,Legal
2000,Shotgun ,Illegal
2000,Assault weapon ,Illegal
2000,Handgun ,Illegal
2000,Rifle ,Illegal
2000,Handgun ,Illegal
2000,Handgun ,Illegal
2000,Rifle ,Legal
2000,Assault weapon ,Illegal
2000,Handgun ,Illegal
2000,Shotgun ,Legal
2000,Handgun ,Illegal
2000,Assault weapon ,Illegal
2000,Handgun ,Illegal
2000,Handgun ,Illegal
2000,Shotgun ,Illegal
2000,Assault weapon ,Illegal
2000,Shotgun ,Legal
2000,Rifle ,Legal
2000,Handgun ,Illegal
2000,Shotgun ,Legal
2000,Rifle ,Legal
2000,Handgun ,Legal
2000,Handgun ,Legal
2000,Rifle ,Legal
2000,Handgun ,Illegal
